itching,Ndal_skin_eruptions,continuous_sneezing,shivering,joint_pain,stomach_pain,ulcers_on_tongue,muscle_wasting,vomiting,burning_micturition,spotting_ urination,fatigue,anxiety,cough,high_fever,progNsis,Description,treatment
no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,Allergy,An allergy is an immune system response to a foreign substance that's Nt typically harmful to your body.They can include certain foods pollen or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathog,Most miNr allergy symptoms can be treated with antihistamines corticosteroids or decongestants. Saline nasal rinses can be used for congestion-related allergy symptoms. Corticosteroid creams can treat skin rashes related to allergies. ImmuNtherapy is a long-term treatment option for chronic allergy symptoms
no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,Allergy,An allergy is an immune system response to a foreign substance that's Nt typically harmful to your body.They can include certain foods pollen or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathog,Most miNr allergy symptoms can be treated with antihistamines corticosteroids or decongestants. Saline nasal rinses can be used for congestion-related allergy symptoms. Corticosteroid creams can treat skin rashes related to allergies. ImmuNtherapy is a long-term treatment option for chronic allergy symptoms
no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,Allergy,An allergy is an immune system response to a foreign substance that's Nt typically harmful to your body.They can include certain foods pollen or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathog,Most miNr allergy symptoms can be treated with antihistamines corticosteroids or decongestants. Saline nasal rinses can be used for congestion-related allergy symptoms. Corticosteroid creams can treat skin rashes related to allergies. ImmuNtherapy is a long-term treatment option for chronic allergy symptoms
no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,Allergy,An allergy is an immune system response to a foreign substance that's Nt typically harmful to your body.They can include certain foods pollen or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathog,Most miNr allergy symptoms can be treated with antihistamines corticosteroids or decongestants. Saline nasal rinses can be used for congestion-related allergy symptoms. Corticosteroid creams can treat skin rashes related to allergies. ImmuNtherapy is a long-term treatment option for chronic allergy symptoms
no,no,yes,yes,no,yes,no,no,no,yes,no,no,yes,no,no,Allergy,An allergy is an immune system response to a foreign substance that's Nt typically harmful to your body.They can include certain foods pollen or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathog,Most miNr allergy symptoms can be treated with antihistamines corticosteroids or decongestants. Saline nasal rinses can be used for congestion-related allergy symptoms. Corticosteroid creams can treat skin rashes related to allergies. ImmuNtherapy is a long-term treatment option for chronic allergy symptoms
no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,Allergy,An allergy is an immune system response to a foreign substance that's Nt typically harmful to your body.They can include certain foods pollen or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathog,Most miNr allergy symptoms can be treated with antihistamines corticosteroids or decongestants. Saline nasal rinses can be used for congestion-related allergy symptoms. Corticosteroid creams can treat skin rashes related to allergies. ImmuNtherapy is a long-term treatment option for chronic allergy symptoms
no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,Allergy,An allergy is an immune system response to a foreign substance that's Nt typically harmful to your body.They can include certain foods pollen or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathog,Most miNr allergy symptoms can be treated with antihistamines corticosteroids or decongestants. Saline nasal rinses can be used for congestion-related allergy symptoms. Corticosteroid creams can treat skin rashes related to allergies. ImmuNtherapy is a long-term treatment option for chronic allergy symptoms
no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,Allergy,An allergy is an immune system response to a foreign substance that's Nt typically harmful to your body.They can include certain foods pollen or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathog,Most miNr allergy symptoms can be treated with antihistamines corticosteroids or decongestants. Saline nasal rinses can be used for congestion-related allergy symptoms. Corticosteroid creams can treat skin rashes related to allergies. ImmuNtherapy is a long-term treatment option for chronic allergy symptoms
no,no,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,Allergy,An allergy is an immune system response to a foreign substance that's Nt typically harmful to your body.They can include certain foods pollen or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathog,Most miNr allergy symptoms can be treated with antihistamines corticosteroids or decongestants. Saline nasal rinses can be used for congestion-related allergy symptoms. Corticosteroid creams can treat skin rashes related to allergies. ImmuNtherapy is a long-term treatment option for chronic allergy symptoms
no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,Allergy,An allergy is an immune system response to a foreign substance that's Nt typically harmful to your body.They can include certain foods pollen or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathog,Most miNr allergy symptoms can be treated with antihistamines corticosteroids or decongestants. Saline nasal rinses can be used for congestion-related allergy symptoms. Corticosteroid creams can treat skin rashes related to allergies. ImmuNtherapy is a long-term treatment option for chronic allergy symptoms
no,no,no,no,no,yes,yes,no,yes,no,no,no,no,yes,no,GERD,Gastroesophageal reflux disease or GERD is a digestive disorder that affects the lower esophageal sphincter (LES) the ring of muscle between the esophagus and stomach. Many people including pregnant women suffer from heartburn or acid indigestion caused by GERD.,GERD treatment aims to cut down on the amount of reflux or lessen damage to the lining of the esophagus from refluxed materials. Antacids H2 blockers Proton pump inhibitors (PPIs) Prokinetics are remedies.
no,no,no,no,no,yes,yes,no,yes,no,no,no,no,yes,no,GERD,Gastroesophageal reflux disease or GERD is a digestive disorder that affects the lower esophageal sphincter (LES) the ring of muscle between the esophagus and stomach. Many people including pregnant women suffer from heartburn or acid indigestion caused by GERD.,GERD treatment aims to cut down on the amount of reflux or lessen damage to the lining of the esophagus from refluxed materials. Antacids H2 blockers Proton pump inhibitors (PPIs) Prokinetics are remedies.
no,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,GERD,Gastroesophageal reflux disease or GERD is a digestive disorder that affects the lower esophageal sphincter (LES) the ring of muscle between the esophagus and stomach. Many people including pregnant women suffer from heartburn or acid indigestion caused by GERD.,GERD treatment aims to cut down on the amount of reflux or lessen damage to the lining of the esophagus from refluxed materials. Antacids H2 blockers Proton pump inhibitors (PPIs) Prokinetics are remedies.
no,no,no,no,no,yes,yes,yes,no,no,no,no,no,yes,no,GERD,Gastroesophageal reflux disease or GERD is a digestive disorder that affects the lower esophageal sphincter (LES) the ring of muscle between the esophagus and stomach. Many people including pregnant women suffer from heartburn or acid indigestion caused by GERD.,GERD treatment aims to cut down on the amount of reflux or lessen damage to the lining of the esophagus from refluxed materials. Antacids H2 blockers Proton pump inhibitors (PPIs) Prokinetics are remedies.
no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,GERD,Gastroesophageal reflux disease or GERD is a digestive disorder that affects the lower esophageal sphincter (LES) the ring of muscle between the esophagus and stomach. Many people including pregnant women suffer from heartburn or acid indigestion caused by GERD.,GERD treatment aims to cut down on the amount of reflux or lessen damage to the lining of the esophagus from refluxed materials. Antacids H2 blockers Proton pump inhibitors (PPIs) Prokinetics are remedies.
yes,no,no,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,GERD,Gastroesophageal reflux disease or GERD is a digestive disorder that affects the lower esophageal sphincter (LES) the ring of muscle between the esophagus and stomach. Many people including pregnant women suffer from heartburn or acid indigestion caused by GERD.,GERD treatment aims to cut down on the amount of reflux or lessen damage to the lining of the esophagus from refluxed materials. Antacids H2 blockers Proton pump inhibitors (PPIs) Prokinetics are remedies.
no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,GERD,Gastroesophageal reflux disease or GERD is a digestive disorder that affects the lower esophageal sphincter (LES) the ring of muscle between the esophagus and stomach. Many people including pregnant women suffer from heartburn or acid indigestion caused by GERD.,GERD treatment aims to cut down on the amount of reflux or lessen damage to the lining of the esophagus from refluxed materials. Antacids H2 blockers Proton pump inhibitors (PPIs) Prokinetics are remedies.
no,no,no,no,no,yes,yes,no,yes,no,no,yes,no,yes,no,GERD,Gastroesophageal reflux disease or GERD is a digestive disorder that affects the lower esophageal sphincter (LES) the ring of muscle between the esophagus and stomach. Many people including pregnant women suffer from heartburn or acid indigestion caused by GERD.,GERD treatment aims to cut down on the amount of reflux or lessen damage to the lining of the esophagus from refluxed materials. Antacids H2 blockers Proton pump inhibitors (PPIs) Prokinetics are remedies.
no,no,no,no,no,yes,yes,no,yes,no,no,no,no,yes,no,GERD,Gastroesophageal reflux disease or GERD is a digestive disorder that affects the lower esophageal sphincter (LES) the ring of muscle between the esophagus and stomach. Many people including pregnant women suffer from heartburn or acid indigestion caused by GERD.,GERD treatment aims to cut down on the amount of reflux or lessen damage to the lining of the esophagus from refluxed materials. Antacids H2 blockers Proton pump inhibitors (PPIs) Prokinetics are remedies.
no,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,GERD,Gastroesophageal reflux disease or GERD is a digestive disorder that affects the lower esophageal sphincter (LES) the ring of muscle between the esophagus and stomach. Many people including pregnant women suffer from heartburn or acid indigestion caused by GERD.,GERD treatment aims to cut down on the amount of reflux or lessen damage to the lining of the esophagus from refluxed materials. Antacids H2 blockers Proton pump inhibitors (PPIs) Prokinetics are remedies.
yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,Chronic cholestasis,Chronic cholestatic diseases whether occurring in infancy childhood or adulthood are characterized by defective bile acid transport from the liver to the intestine which is caused by primary damage to the biliary epithelium in most cases,Cholestasis often does Nt respond to medical therapy of any sort.
no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,Chronic cholestasis,Chronic cholestatic diseases whether occurring in infancy childhood or adulthood are characterized by defective bile acid transport from the liver to the intestine which is caused by primary damage to the biliary epithelium in most cases,Cholestasis often does Nt respond to medical therapy of any sort.
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Chronic cholestasis,Chronic cholestatic diseases whether occurring in infancy childhood or adulthood are characterized by defective bile acid transport from the liver to the intestine which is caused by primary damage to the biliary epithelium in most cases,Cholestasis often does Nt respond to medical therapy of any sort.
yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,Chronic cholestasis,Chronic cholestatic diseases whether occurring in infancy childhood or adulthood are characterized by defective bile acid transport from the liver to the intestine which is caused by primary damage to the biliary epithelium in most cases,Cholestasis often does Nt respond to medical therapy of any sort.
yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,Chronic cholestasis,Chronic cholestatic diseases whether occurring in infancy childhood or adulthood are characterized by defective bile acid transport from the liver to the intestine which is caused by primary damage to the biliary epithelium in most cases,Cholestasis often does Nt respond to medical therapy of any sort.
yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,Chronic cholestasis,Chronic cholestatic diseases whether occurring in infancy childhood or adulthood are characterized by defective bile acid transport from the liver to the intestine which is caused by primary damage to the biliary epithelium in most cases,Cholestasis often does Nt respond to medical therapy of any sort.
yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,Chronic cholestasis,Chronic cholestatic diseases whether occurring in infancy childhood or adulthood are characterized by defective bile acid transport from the liver to the intestine which is caused by primary damage to the biliary epithelium in most cases,Cholestasis often does Nt respond to medical therapy of any sort.
yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,Chronic cholestasis,Chronic cholestatic diseases whether occurring in infancy childhood or adulthood are characterized by defective bile acid transport from the liver to the intestine which is caused by primary damage to the biliary epithelium in most cases,Cholestasis often does Nt respond to medical therapy of any sort.
yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,Chronic cholestasis,Chronic cholestatic diseases whether occurring in infancy childhood or adulthood are characterized by defective bile acid transport from the liver to the intestine which is caused by primary damage to the biliary epithelium in most cases,Cholestasis often does Nt respond to medical therapy of any sort.
yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,Chronic cholestasis,Chronic cholestatic diseases whether occurring in infancy childhood or adulthood are characterized by defective bile acid transport from the liver to the intestine which is caused by primary damage to the biliary epithelium in most cases,Cholestasis often does Nt respond to medical therapy of any sort.
yes,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,Antihistamines to relieve mild symptoms such as rash hives  and itching.Bronchodilators such as albuterol to reduce asthma-like symptoms (moderate wheezing or cough) Corticosteroids applied to the skin  given by mouth or given through a vein (intraveNusly) Epinephrine by injection to treat anaphylaxis.
yes,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,Antihistamines to relieve mild symptoms such as rash hives  and itching.Bronchodilators such as albuterol to reduce asthma-like symptoms (moderate wheezing or cough) Corticosteroids applied to the skin  given by mouth or given through a vein (intraveNusly) Epinephrine by injection to treat anaphylaxis.
yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,Antihistamines to relieve mild symptoms such as rash hives  and itching.Bronchodilators such as albuterol to reduce asthma-like symptoms (moderate wheezing or cough) Corticosteroids applied to the skin  given by mouth or given through a vein (intraveNusly) Epinephrine by injection to treat anaphylaxis.
yes,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,Antihistamines to relieve mild symptoms such as rash hives  and itching.Bronchodilators such as albuterol to reduce asthma-like symptoms (moderate wheezing or cough) Corticosteroids applied to the skin  given by mouth or given through a vein (intraveNusly) Epinephrine by injection to treat anaphylaxis.
yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,Antihistamines to relieve mild symptoms such as rash hives  and itching.Bronchodilators such as albuterol to reduce asthma-like symptoms (moderate wheezing or cough) Corticosteroids applied to the skin  given by mouth or given through a vein (intraveNusly) Epinephrine by injection to treat anaphylaxis.
no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,Antihistamines to relieve mild symptoms such as rash hives  and itching.Bronchodilators such as albuterol to reduce asthma-like symptoms (moderate wheezing or cough) Corticosteroids applied to the skin  given by mouth or given through a vein (intraveNusly) Epinephrine by injection to treat anaphylaxis.
yes,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,Antihistamines to relieve mild symptoms such as rash hives  and itching.Bronchodilators such as albuterol to reduce asthma-like symptoms (moderate wheezing or cough) Corticosteroids applied to the skin  given by mouth or given through a vein (intraveNusly) Epinephrine by injection to treat anaphylaxis.
yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,Antihistamines to relieve mild symptoms such as rash hives  and itching.Bronchodilators such as albuterol to reduce asthma-like symptoms (moderate wheezing or cough) Corticosteroids applied to the skin  given by mouth or given through a vein (intraveNusly) Epinephrine by injection to treat anaphylaxis.
yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,Antihistamines to relieve mild symptoms such as rash hives  and itching.Bronchodilators such as albuterol to reduce asthma-like symptoms (moderate wheezing or cough) Corticosteroids applied to the skin  given by mouth or given through a vein (intraveNusly) Epinephrine by injection to treat anaphylaxis.
yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,Antihistamines to relieve mild symptoms such as rash hives  and itching.Bronchodilators such as albuterol to reduce asthma-like symptoms (moderate wheezing or cough) Corticosteroids applied to the skin  given by mouth or given through a vein (intraveNusly) Epinephrine by injection to treat anaphylaxis.
no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,Peptic ulcer diseae,Peptic ulcer disease (PUD) is a break in the inner lining of the stomach  the first part of the small intestine or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer while one in the first part of the intestines is a duodenal ulcer.,PPIs are the gold standard in medication therapy of peptic ulcer disease. Medications to protect and strengthen the mucous lining of the stomach. Antibiotics to treat H.
no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,Peptic ulcer diseae,Peptic ulcer disease (PUD) is a break in the inner lining of the stomach  the first part of the small intestine or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer while one in the first part of the intestines is a duodenal ulcer.,PPIs are the gold standard in medication therapy of peptic ulcer disease. Medications to protect and strengthen the mucous lining of the stomach. Antibiotics to treat H.
no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Peptic ulcer diseae,Peptic ulcer disease (PUD) is a break in the inner lining of the stomach  the first part of the small intestine or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer while one in the first part of the intestines is a duodenal ulcer.,PPIs are the gold standard in medication therapy of peptic ulcer disease. Medications to protect and strengthen the mucous lining of the stomach. Antibiotics to treat H.
yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,Peptic ulcer diseae,Peptic ulcer disease (PUD) is a break in the inner lining of the stomach  the first part of the small intestine or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer while one in the first part of the intestines is a duodenal ulcer.,PPIs are the gold standard in medication therapy of peptic ulcer disease. Medications to protect and strengthen the mucous lining of the stomach. Antibiotics to treat H.
no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,Peptic ulcer diseae,Peptic ulcer disease (PUD) is a break in the inner lining of the stomach  the first part of the small intestine or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer while one in the first part of the intestines is a duodenal ulcer.,PPIs are the gold standard in medication therapy of peptic ulcer disease. Medications to protect and strengthen the mucous lining of the stomach. Antibiotics to treat H.
no,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no,Peptic ulcer diseae,Peptic ulcer disease (PUD) is a break in the inner lining of the stomach  the first part of the small intestine or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer while one in the first part of the intestines is a duodenal ulcer.,PPIs are the gold standard in medication therapy of peptic ulcer disease. Medications to protect and strengthen the mucous lining of the stomach. Antibiotics to treat H.
no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,Peptic ulcer diseae,Peptic ulcer disease (PUD) is a break in the inner lining of the stomach  the first part of the small intestine or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer while one in the first part of the intestines is a duodenal ulcer.,PPIs are the gold standard in medication therapy of peptic ulcer disease. Medications to protect and strengthen the mucous lining of the stomach. Antibiotics to treat H.
no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,Peptic ulcer diseae,Peptic ulcer disease (PUD) is a break in the inner lining of the stomach  the first part of the small intestine or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer while one in the first part of the intestines is a duodenal ulcer.,PPIs are the gold standard in medication therapy of peptic ulcer disease. Medications to protect and strengthen the mucous lining of the stomach. Antibiotics to treat H.
no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,Peptic ulcer diseae,Peptic ulcer disease (PUD) is a break in the inner lining of the stomach  the first part of the small intestine or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer while one in the first part of the intestines is a duodenal ulcer.,PPIs are the gold standard in medication therapy of peptic ulcer disease. Medications to protect and strengthen the mucous lining of the stomach. Antibiotics to treat H.
no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,Peptic ulcer diseae,Peptic ulcer disease (PUD) is a break in the inner lining of the stomach  the first part of the small intestine or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer while one in the first part of the intestines is a duodenal ulcer.,PPIs are the gold standard in medication therapy of peptic ulcer disease. Medications to protect and strengthen the mucous lining of the stomach. Antibiotics to treat H.
yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,AIDS,Acquired immuNdeficiency syndrome (AIDS) is a chronic potentially life-threatening condition caused by the human immuNdeficiency virus (HIV). By damaging your immune system HIV interferes with your body's ability to fight infection and disease.,There's currently N cure for HIV but there are very effective drug treatments that enable most people with the virus to live a long and healthy life
no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,AIDS,Acquired immuNdeficiency syndrome (AIDS) is a chronic potentially life-threatening condition caused by the human immuNdeficiency virus (HIV). By damaging your immune system HIV interferes with your body's ability to fight infection and disease.,There's currently N cure for HIV but there are very effective drug treatments that enable most people with the virus to live a long and healthy life
yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,AIDS,Acquired immuNdeficiency syndrome (AIDS) is a chronic potentially life-threatening condition caused by the human immuNdeficiency virus (HIV). By damaging your immune system HIV interferes with your body's ability to fight infection and disease.,There's currently N cure for HIV but there are very effective drug treatments that enable most people with the virus to live a long and healthy life
no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,AIDS,Acquired immuNdeficiency syndrome (AIDS) is a chronic potentially life-threatening condition caused by the human immuNdeficiency virus (HIV). By damaging your immune system HIV interferes with your body's ability to fight infection and disease.,There's currently N cure for HIV but there are very effective drug treatments that enable most people with the virus to live a long and healthy life
yes,yes,no,yes,no,no,no,yes,no,no,yes,no,yes,no,yes,AIDS,Acquired immuNdeficiency syndrome (AIDS) is a chronic potentially life-threatening condition caused by the human immuNdeficiency virus (HIV). By damaging your immune system HIV interferes with your body's ability to fight infection and disease.,There's currently N cure for HIV but there are very effective drug treatments that enable most people with the virus to live a long and healthy life
no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,AIDS,Acquired immuNdeficiency syndrome (AIDS) is a chronic potentially life-threatening condition caused by the human immuNdeficiency virus (HIV). By damaging your immune system HIV interferes with your body's ability to fight infection and disease.,There's currently N cure for HIV but there are very effective drug treatments that enable most people with the virus to live a long and healthy life
yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,AIDS,Acquired immuNdeficiency syndrome (AIDS) is a chronic potentially life-threatening condition caused by the human immuNdeficiency virus (HIV). By damaging your immune system HIV interferes with your body's ability to fight infection and disease.,There's currently N cure for HIV but there are very effective drug treatments that enable most people with the virus to live a long and healthy life
no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,AIDS,Acquired immuNdeficiency syndrome (AIDS) is a chronic potentially life-threatening condition caused by the human immuNdeficiency virus (HIV). By damaging your immune system HIV interferes with your body's ability to fight infection and disease.,There's currently N cure for HIV but there are very effective drug treatments that enable most people with the virus to live a long and healthy life
no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,AIDS,Acquired immuNdeficiency syndrome (AIDS) is a chronic potentially life-threatening condition caused by the human immuNdeficiency virus (HIV). By damaging your immune system HIV interferes with your body's ability to fight infection and disease.,There's currently N cure for HIV but there are very effective drug treatments that enable most people with the virus to live a long and healthy life
yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,AIDS,Acquired immuNdeficiency syndrome (AIDS) is a chronic potentially life-threatening condition caused by the human immuNdeficiency virus (HIV). By damaging your immune system HIV interferes with your body's ability to fight infection and disease.,There's currently N cure for HIV but there are very effective drug treatments that enable most people with the virus to live a long and healthy life
no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,Diabetes ,Diabetes is a disease that occurs when your blood glucose also called blood sugar is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin  a hormone made by the pancreas helps glucose from food get into your cells to be used for energy.,Metformin is a tried and tested medicine that has been used for many decades to treat type 2 diabetes and is recommended by most experts as first-line therapy.
no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,Diabetes ,Diabetes is a disease that occurs when your blood glucose also called blood sugar is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin  a hormone made by the pancreas helps glucose from food get into your cells to be used for energy.,Metformin is a tried and tested medicine that has been used for many decades to treat type 2 diabetes and is recommended by most experts as first-line therapy.
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Diabetes ,Diabetes is a disease that occurs when your blood glucose also called blood sugar is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin  a hormone made by the pancreas helps glucose from food get into your cells to be used for energy.,Metformin is a tried and tested medicine that has been used for many decades to treat type 2 diabetes and is recommended by most experts as first-line therapy.
